"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mt2",3455.97089412692,-1.4081427356129,0.0837982862747944,-16.8039562407668,2.28295781598087e-63,3.16600589920227e-59
"Gjb3",755.807302844769,-1.97786422168206,0.143913654038638,-13.7434090941159,5.57858684967454e-43,3.86819212156433e-39
"",9002.19168676001,0.826833228900694,0.0607137476878503,13.6185503347894,3.10673410243168e-42,1.43613961775075e-38
"Dppa3",929.502239482764,-1.69758842149589,0.126099080588422,-13.4623378185976,2.6054049141813e-41,9.03293883746658e-38
"Rbm47",2137.11296423786,-1.27247797494615,0.0956891751950056,-13.2980347291421,2.3763250013878e-40,6.59097502384921e-37
"Mt1",2386.51012554596,-1.08528495014927,0.091191025241019,-11.9012254471408,1.16621908546349e-32,2.69552104620127e-29
"Sptbn2",4019.42266181645,-1.07424063355433,0.0905637638939982,-11.8617048073631,1.87125771031608e-32,3.7072288466662e-29
"Mylpf",752.493937357094,-1.55448492907303,0.134013737066484,-11.599444677092,4.14760825759879e-31,7.18987891454751e-28
"Ckb",1931.65017390633,-1.26762836102648,0.110499137726913,-11.4718393926231,1.82733246519326e-30,2.81571629192224e-27
"Phf19",644.455117886778,-1.58028738464703,0.144741640448293,-10.9179872478478,9.45682611231621e-28,1.31147264525601e-24
"Fabp3",968.470958749143,-1.40999155220401,0.130822521837919,-10.7778961328303,4.37784026090389e-27,5.51926261256501e-24
"Lgals1",1652.1849192272,-1.1133315716288,0.105165835068269,-10.5864377999382,3.44451359779013e-26,3.98070954784613e-23
"Aard",288.044958318507,-2.05034871884171,0.197775824770428,-10.3670340964154,3.50226419799701e-25,3.73610768444788e-22
"Cdh3",2458.39935537892,-0.916423154016098,0.0888672499119442,-10.3122708863406,6.2018270116538e-25,6.14335264268678e-22
"Slc40a1",1254.19816449089,-1.03005099517385,0.101239808078298,-10.174367323743,2.58071583782785e-24,2.38595781593311e-21
"Hk1",1396.6232707162,-1.17871010509303,0.117034118705631,-10.0715083612308,7.3836897604509e-24,6.39981309987082e-21
"Slco4c1",503.861159782243,-1.50013665525286,0.151243109986725,-9.91871071273619,3.45186051237881e-23,2.8159059756276e-20
"Gpat3",253.598286971285,-2.1059256853582,0.21371292789035,-9.85399295282077,6.58737231023594e-23,5.07520439990844e-20
"Sfrp1",2280.19168500387,0.768651612616373,0.0785662175263403,9.78348757032466,1.32562284097537e-22,9.67565134665602e-20
"Sfmbt2",4065.83535432556,-1.62385673065654,0.168539598042237,-9.6348677077632,5.69653285732684e-22,3.94997588327043e-19
"Erbb3",2943.74702631303,-0.77481319702227,0.0804764855136426,-9.62782099736353,6.10094496331477e-22,4.02894784529758e-19
"Cldn4",961.494247058008,-1.07800932570202,0.11227275728887,-9.6016999291144,7.86366219159694e-22,4.95696669423029e-19
"Elf3",686.625801242592,-1.32358135887459,0.139021255402862,-9.52071217483294,1.71996254380863e-21,1.03706263293644e-18
"Afap1",977.068368722979,-1.08243144689987,0.114922973484571,-9.41875600743304,4.56463792576238e-21,2.63759994810303e-18
"Nrk",1339.88542800927,-0.947623808232601,0.100798112908454,-9.40120584492733,5.39412836502205e-21,2.99223088664503e-18
"Rnf213",1615.94577841731,-1.0531702527997,0.113846967004739,-9.25075371358698,2.22915160369167e-20,1.18899517076908e-17
"Aqp3",226.335844850335,-2.12195514452239,0.231014341042392,-9.18538275566624,4.10066350304436e-20,2.10622227630442e-17
"Macroh2a1",2673.22891631143,-0.736424653342007,0.0805982558272115,-9.13698002250534,6.42206347364571e-20,3.18075629473281e-17
"Dsp",3139.04560007041,-0.839544755840705,0.0922296634530287,-9.10276286835063,8.80625472385412e-20,4.21121174173824e-17
"Plekhg5",1067.97652805627,-1.07436028120844,0.118136052893173,-9.0942625464214,9.52305267774203e-20,4.40218981783088e-17
"Aif1l",1115.66791581686,-0.905027635817716,0.101249188023784,-8.93861623468154,3.94073826135068e-19,1.76290832930359e-16
"3830417A13Rik",104.593034688843,-3.19492007277868,0.362493711545813,-8.81372551031108,1.21054240194562e-18,5.24618813443184e-16
"Hr",494.426340078058,-1.26969313006597,0.14430328007908,-8.79878218547879,1.38308837993616e-18,5.81232413725899e-16
"Plekhg3",2003.23295827237,-0.728188584771735,0.082911121380906,-8.78276125860521,1.59509510550797e-18,6.50611144799544e-16
"Cxxc5",1240.40143985247,2.2993078511354,0.26688971841627,8.61519831029666,6.98206385133243e-18,2.76649318543652e-15
"Pramef12",388.356056733062,-1.40666383188946,0.163839233272236,-8.58563485555467,9.033616694211e-18,3.47994989764773e-15
"Rhox9",377.019056954215,-2.99546572347887,0.350526312473696,-8.5456230156863,1.27844701438861e-17,4.79175762041654e-15
"Atg13",1462.36833660307,-0.910964697338788,0.106762338283377,-8.53264092924634,1.43044134350181e-17,5.22035803991659e-15
"Plekhh1",879.445396171109,-0.958675429072973,0.11346645355797,-8.44897675931315,2.93866957036931e-17,1.0449607590226e-14
"Klhl13",4417.76293141601,-1.70918194360441,0.202909133531664,-8.42338594550102,3.65757131273532e-17,1.26807997412534e-14
"Dusp9",1402.26513820041,-0.80338236049269,0.0955175675962868,-8.41083353261521,4.07107170831775e-17,1.3770151817305e-14
"Ap3b2",609.004485621837,-1.23412354236064,0.147733478675556,-8.35371612057516,6.61482128521059e-17,2.18415099007858e-14
"Sfn",699.463270976514,-1.14804153690039,0.138128260813808,-8.31141672338805,9.45662009080406e-17,3.04986993998304e-14
"Dsg2",1629.55713735309,-0.734682448506341,0.0887600898434799,-8.27717107769815,1.26135946810361e-16,3.97557570537747e-14
"Mfge8",798.468853690474,-1.1464082471129,0.138638214580664,-8.26906384058983,1.35014961809343e-16,4.1608610897155e-14
"Eps8l2",450.233548382423,-1.29720820763694,0.157682609335104,-8.22670434683218,1.92434656683512e-16,5.80148656279771e-14
"Psap",4202.27877957849,-0.557074700234432,0.0679148536197457,-8.20254584296809,2.35348946153402e-16,6.94429613884123e-14
"Ak4",1057.36846396731,-0.891805136353535,0.109407733858847,-8.15120745946625,3.60308386489226e-16,1.04099097996512e-13
"Adgrg6",232.82669912255,-1.87908118123633,0.231068930449318,-8.1321239406026,4.21833189322923e-16,1.19387401418986e-13
"Zc3hav1",1268.07921319411,-1.75544470213775,0.216604656781595,-8.10437193835489,5.30186810721102e-16,1.47052613821605e-13
"Zfp981",969.263960141044,1.05757964348714,0.1307736697241,8.08709922814258,6.11024855937814e-16,1.66150837296973e-13
"Espn",396.757937061504,-1.24467860459341,0.154104432971767,-8.07685139610124,6.64604550750883e-16,1.77244921342563e-13
"Arl14epl",182.172326333066,-2.02154703332853,0.250370905242883,-8.07420906741316,6.79154246287301e-16,1.77707756368156e-13
"Tle6",198.499634245129,-1.78599238848469,0.223413647528784,-7.99410603711926,1.30517396353123e-15,3.35188009745392e-13
"Rhox6",281.381852857682,-3.25071736044766,0.411398941039158,-7.90161820114711,2.75305604108274e-15,6.94170566867917e-13
"Casz1",669.403607989143,-0.997121389567488,0.127009392218597,-7.85076892464249,4.13494202923386e-15,1.02398885823956e-12
"Fam222a",379.11476298217,-1.33688881308656,0.171857209767251,-7.77906737166932,7.30611479840092e-15,1.77756491270568e-12
"Ccnd3",1496.73194726184,-0.764173904899025,0.0983449782091362,-7.7703398670135,7.82758128491461e-15,1.87160167688269e-12
"Wwc2",3853.86749508213,-0.617906372205002,0.0819870106691474,-7.53663741563304,4.82244761814147e-14,1.13352039946417e-11
