"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cxxc5",873.093357353483,-1.88106058061983,0.149041710694085,-12.6210345537485,1.61683143414585e-36,1.03161929655676e-32
"Slc40a1",436.643761273516,2.26102540026896,0.178825833816361,12.6437291079031,1.21167943335198e-36,1.03161929655676e-32
"Klhl13",5248.6468477177,1.04665374413241,0.0905738389781422,11.5558063557954,6.89967932325991e-31,2.93489359480399e-27
"Nid1",2856.40798183363,-1.08475855440315,0.0959072901075806,-11.3104911335349,1.16435935074434e-29,3.71459741871214e-26
"Fgfr2",548.312184442188,1.5467434793346,0.149006606869453,10.3803684402378,3.04597371168133e-25,7.77393410695308e-22
"Sptbn2",1812.78010227315,1.010623428915,0.105848694467228,9.54781194044769,1.32464333203059e-21,2.8172955933404e-18
"A2m",348.258571114746,-2.17988128450875,0.234542766053369,-9.29417402714832,1.48353557198216e-20,2.70448534772348e-17
"Wnt7b",314.691448968515,1.93300873046969,0.216590091038712,8.92473298847357,4.46775646562227e-19,7.12663003222573e-16
"Ntn1",1500.17018040579,-1.11163121212586,0.126395862167596,-8.79483863682088,1.43253699761715e-18,2.0311782918436e-15
"S100a6",1007.25954371628,1.16674934990108,0.13491759426791,8.64786654573924,5.24711417423769e-18,6.69584239774471e-15
"Eif2s3y",302.821600601972,-1.97259924709757,0.228963553822419,-8.61534167410547,6.97333239563308e-18,8.08969951824307e-15
"Sfn",2483.62654543627,0.7914509621567,0.0984002035969188,8.04318419297948,8.75336026122132e-16,9.30846919112044e-13
"Cobl",6631.37503173129,-0.730535213918307,0.0919395505990532,-7.94582102216442,1.92908784049924e-15,1.89362230250852e-12
"Rbm47",2339.79428189661,0.862044801622882,0.111082920927927,7.7603721114085,8.46805568301288e-15,7.71863275506624e-12
"Fat1",12417.1817468079,0.628189904133921,0.0825352326721182,7.61117263253483,2.71620138121696e-14,2.31076305504731e-11
"Tbx3",2771.35086014398,-0.752803647194458,0.101291978911011,-7.43201638755452,1.06954545755866e-13,8.53029348994131e-11
"Zfp600",1149.48661694736,-0.868152886696036,0.116965555750198,-7.42229523151362,1.15107871058697e-13,8.6405384857649e-11
"Sema6a",381.038580210114,1.52054225178974,0.208211544602224,7.30287196463887,2.81689212903829e-13,1.99702002548098e-10
"Cldn6",756.401110695312,1.08842852748345,0.149501071844132,7.28040618075453,3.32816575295637e-13,2.23530121965664e-10
"Sfrp1",1374.97497667437,-0.8030601365756,0.110608429014981,-7.260388233765,3.85980863894283e-13,2.46275090207747e-10
"Zmiz1",1217.2526337878,-0.852659051821039,0.118976737227389,-7.1666030830164,7.68815150776294e-13,4.67183339955061e-10
"Esrp1",2384.77846455692,0.729027635872623,0.102496627292646,7.11269877974737,1.1379546390835e-12,6.60065415879295e-10
"Hip1",1934.46389138565,0.95557254277764,0.134845906322401,7.0864037985178,1.37641818186194e-12,7.63672713858272e-10
"Cyr61",336.053520783883,1.34589451062485,0.190843929555225,7.05233073832399,1.75945377640937e-12,8.98095585630397e-10
"Tpm1",2567.10000338985,0.754612173511333,0.106953449273533,7.05551974842262,1.71956758001233e-12,8.98095585630397e-10
"Fhl1",781.932655830734,0.975392179534454,0.138452362274072,7.04496596167585,1.85506849108078e-12,9.10481885180071e-10
"C77370",2028.70602703623,0.719133052593453,0.103763081286891,6.93052908293217,4.19269558370613e-12,1.98159216087681e-09
"Dppa3",1101.68946177183,0.878482653561255,0.126959443974695,6.91939587996582,4.53573709600493e-12,2.06716218150425e-09
"Prag1",889.812539905925,0.872554988709321,0.127132467275587,6.86335290589358,6.72627815250321e-12,2.95979432772736e-09
"Krt8",432.20559416624,1.11088294435241,0.162568311847448,6.83333013505637,8.29657236572858e-12,3.52908533196875e-09
"Gja1",3557.91963957822,0.635689026370881,0.0932273997932012,6.81869308573422,9.18724364494275e-12,3.78188439203595e-09
"Ctgf",685.572141359559,1.2532390059402,0.184174776737709,6.80461802717421,1.01317695349881e-11,4.04035971987449e-09
